F-LAGS 315Pro Story,2017,los,main,f-lags,,https://www.youtube.com/playlist?list=PLT0HmuV3VVRO6dVgHcJ-t-03inVed3vhG,,
Let It Reach Everyone! Happy Clover LIVE,2017,los,event,mixed rei ryo rui kamiya,,https://drive.google.com/file/d/1VwIZJdSo0ialSyCPgiUTIShSK90kf9Dz/view,stamff,
One Heart For…Hospitality Message Card,2017,los,event,mixed michiru soichiro kuro sora,,https://drive.google.com/file/d/1RO402YBNz4y3L_lo5_GqWi1xttiRuKLz/view,stamff,
Phantom Night Party,2017,los,event,mixed hokuto kazuki asselin kei,,https://allnornothing.wordpress.com/2021/11/12/los-eventstory_2017_06-phantomnightparty/,stamff,
Starlight Museum Live,2017,los,event,mixed natsuki hideo genbu kirio,,https://drive.google.com/file/d/12-VXTJNBr3LzL1KQe4mWoGIG8GY50oVw/view,stamff,
Christmas Eve Happy Party Live,2017,los,event,mixed jun makio michio ryo,Translated by habatakisoul.,https://habatakisoul.tumblr.com/post/168525667170/the-idolmster-sidem-live-on-stge-christmas,habatakisoul,
Christmas Eve Happy Party Live,2017,los,event,mixed jun makio michio ryo,Translated by stamff.,https://drive.google.com/file/d/1qElzoCZAJdhiwKtxaZthWQNkCXAoT6Kw/view,stamff,
Year End Live 2017,2017,los,event,mixed shoma michiru kanon hideo,,https://drive.google.com/file/d/1F0jZu2lxmt-f_N2XaffX6Gv9UWgWgW1V/view,stamff,
New Year Live 2018,2018,los,event,mixed jiro kaoru minori hokuto,,https://drive.google.com/file/d/1gxQ0TpMsKM3S33_qssB8VY2RtNi18OFa/view,stamff,
Happy 315 Cooking,2018,los,event,mixed shiki daigo chris seiji,,https://drive.google.com/file/d/1WD788wzp1hTnSxWrRgBB1_Yn1I5zG2g_/view,stamff,
Idol Karuta Tournament,2018,los,event,mixed saki kyoji kuro shiro,,https://drive.google.com/file/d/1DyzmqUDl8nBhNDCA84KhLk7SUHaRDGdJ/view,stamff,
Happy Valentine 2018,2018,los,event,mixed shouta haruna nao soichiro,,https://drive.google.com/file/d/1JJ6ox69liXk6Srca32UqZta3981NgHsj/view,stamff,
Fashionable Style Show,2018,los,event,mixed kamiya natsuki seiji rei,,https://drive.google.com/file/d/1Au9jmkMGP97a54g4IVrbhBc8XFi2Rb4U/view,stamff,
Happy White Day 2018,2018,los,event,mixed ren tsubasa touma kirio,,https://drive.google.com/file/d/1jPgIlmtmFWjAqcFxapNuZT5metvwH99-/view,stamff,
Labyrinth Academy ~Our Youth~,2018,los,event,mixed asselin daigo genbu sora,Translated by nemuruoogarasu.,https://docs.google.com/document/d/1fn85nu-WI27WKjEUTWcEtWdoU2uj_vaZY4kWzvbjGT0/edit,nemuruoogarasu,
Labyrinth Academy ~Our Youth~,2018,los,event,mixed asselin daigo genbu sora,Translated by stamff.,https://drive.google.com/file/d/1sYiiBTvx-IOLMD1atOdbPJycVcBKxxry/view,stamff,
WORLD TRE@SURE in AMERICA,2018,los,event,mixed haruna ryu yusuke,,https://www.youtube.com/watch?v=g2DFs0VFYxs,idolmaster subs,
Afternoon Tea of Comfort,2018,los,event,mixed kamiya kyoji kanon kei,,https://drive.google.com/file/d/1WXKnr1mZHnPItNNAc1MlN8vhQiUVQioX/view,stamff,
Great Adventure! The Treasures of The Universe ~Space Planet~,2018,los,event,mixed kaoru saki rei minori,,https://drive.google.com/file/d/1HnIniHc60aYnTKfKvbWs_x6ExB__nAzr/view,stamff,
Eat to Your Fill Festival Under a Blue Sky,2018,los,event,mixed yusuke makio tsubasa kazuki,,https://drive.google.com/file/d/1xmomGiZMQiQ1cNxZgmgGY9q7P7exaOUL/view,stamff,
Blue Beach Wedding,2018,los,event,mixed ryo sora jun pierre,,https://drive.google.com/file/d/1vWhhUuMABQU6FTFb-Vd9M-aTKs1iRqBV/view,stamff,
Come Over to Yamanashi ~315 special collaboration!~,2018,los,event,mixed kyosuke kazuki soichiro kei,,https://drive.google.com/file/d/17r-Jy0otYCfjjcNRhNvzU9Kof2KL2yc7/view,stamff,
WORLD TRE@SURE in CHINA,2018,los,event,mixed daigo takeru shouta minori,,https://docs.google.com/document/d/1C40lEi2IskkB7KB3szIIQA2xufyJECEQalobEPoHb-M/edit,tay,
1st Anniversary 315 Live ~Happy Side~,2018,los,event,mixed asselin kirio kaoru natsuki,,https://drive.google.com/file/d/1MRVVPV_dAvpKbmDz1skNXPzH7Lac95Nf/view,stamff,
Tasty♪ Autumn Fruits Parfait,2018,los,event,mixed kuro ryo ren hayato,,https://docs.google.com/document/d/e/2PACX-1vTZ0UUew1f9vusijth6pXm1yVHJMC-ghL5xiyHuvnz4nBRRoudN09HXlHytXbxxpTobJxxlZfX3fMUD/pub,habatakisoul,
Goodnight in Pajamas ~Soothing Time~,2018,los,event,mixed teru sora pierre yusuke,,https://drive.google.com/file/d/1OVXKqs_tOFMfm_7cX8meUQqkeuXERiqs/view,stamff,
Weather Buddy's Report!,2018,los,event,mixed ryu rei suzaku michio,,https://drive.google.com/file/d/1Gy-2P9XevYG6yC6ewMcMAOHgy4iHEvxY/view,stamff,
A Smile Across the Lens,2018,los,event,mixed shiki soichiro michio kyosuke,,https://drive.google.com/file/d/1_htKHrnsz4rz8i803WyFWqoBFMUywiqv/view,stamff,
WORLD TRE@SURE in GERMANY,2018,los,event,mixed asselin hokuto jun kei,,https://jungrocks.home.blog/2019/09/14/tl-sidem-los-wt-germany/,jungrocks,
